driver,prev5_avg,prev5_points,points_behind_leader,percent_of_max,position,race_number,future_results
L. LawsonRacing Bulls,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.30969267139479906,0.0,0.85,0.21739130434782608,0.0
E. OconHaas F1 Team,0.10852713178294572,"[0.0, 10.0, 0.0, 4.0, 0.0]",0.2765957446808511,0.10687022900763359,0.4,0.21739130434782608,0.0
L. StrollAston Martin Racing,0.07751937984496124,"[8.0, 2.0, 0.0, 0.0, 0.0]",0.2765957446808511,0.10687022900763359,0.45,0.21739130434782608,0.0
Y. TsunodaRed Bull Racing,0.03875968992248062,"[0.0, 3.0, 0.0, 2.0, 0.0]",0.28841607565011823,0.06870229007633588,0.5,0.21739130434782608,1.0
P. GaslyAlpine,0.046511627906976744,"[0.0, 0.0, 0.0, 6.0, 0.0]",0.29314420803782504,0.05343511450381679,0.6,0.21739130434782608,0.0
G. BortoletoSauber,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.30969267139479906,0.0,0.9,0.21739130434782608,0.0
F. ColapintoAlpine,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.30969267139479906,0.0,0.95,0.21739130434782608,0.0
J. DoohanAlpine,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.30969267139479906,0.0,1.0,0.21739130434782608,0.0
L. NorrisMcLaren,0.6976744186046512,"[19.0, 18.0, 15.0, 12.0, 26.0]",0.030732860520094562,0.910958904109589,0.05,0.2608695652173913,25.0
M. VerstappenRed Bull Racing,0.627906976744186,"[18.0, 25.0, 8.0, 18.0, 12.0]",0.05200945626477541,0.8493150684931506,0.1,0.2608695652173913,12.0
O. PiastriMcLaren,1.0,"[32.0, 15.0, 25.0, 25.0, 32.0]",0.0,1.0,0.0,0.2608695652173913,15.0
G. RussellMercedes,0.6046511627906976,"[20.0, 10.0, 18.0, 10.0, 20.0]",0.1111111111111111,0.678082191780822,0.15,0.2608695652173913,0.0
C. LeclercFerrari,0.3798449612403101,"[4.0, 12.0, 12.0, 15.0, 6.0]",0.20094562647754138,0.4178082191780822,0.2,0.2608695652173913,18.0
L. HamiltonFerrari,0.31007751937984496,"[8.0, 6.0, 10.0, 6.0, 10.0]",0.2198581560283688,0.363013698630137,0.25,0.2608695652173913,10.0
A. AntonelliMercedes,0.27906976744186046,"[10.0, 8.0, 0.0, 8.0, 10.0]",0.23167848699763594,0.3287671232876712,0.3,0.2608695652173913,0.0
A. AlbonWilliams,0.15503875968992248,"[6.0, 2.0, 0.0, 2.0, 10.0]",0.25059101654846333,0.273972602739726,0.35,0.2608695652173913,2.0
C. SainzWilliams,0.05426356589147286,"[1.0, 0.0, 0.0, 4.0, 2.0]",0.3191489361702128,0.07534246575342465,0.5,0.2608695652173913,1.0
F. AlonsoAston Martin Racing,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.34515366430260047,0.0,0.8,0.2608695652173913,0.0
N. HulkenbergSauber,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.3309692671394799,0.0410958904109589,0.7,0.2608695652173913,0.0
I. HadjarRed Bull Racing,0.03875968992248062,"[0.0, 4.0, 0.0, 1.0, 0.0]",0.32860520094562645,0.04794520547945205,0.6,0.2608695652173913,8.0
O. BearmanHaas F1 Team,0.046511627906976744,"[4.0, 1.0, 1.0, 0.0, 0.0]",0.3309692671394799,0.0410958904109589,0.75,0.2608695652173913,0.0
L. LawsonRacing Bulls,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.34515366430260047,0.0,0.85,0.2608695652173913,4.0
E. OconHaas F1 Team,0.10852713178294572,"[10.0, 0.0, 4.0, 0.0, 0.0]",0.3120567375886525,0.0958904109589041,0.4,0.2608695652173913,6.0
L. StrollAston Martin Racing,0.046511627906976744,"[2.0, 0.0, 0.0, 0.0, 4.0]",0.3120567375886525,0.0958904109589041,0.45,0.2608695652173913,0.0
Y. TsunodaRed Bull Racing,0.06976744186046512,"[3.0, 0.0, 2.0, 0.0, 4.0]",0.3215130023640662,0.0684931506849315,0.55,0.2608695652173913,0.0
P. GaslyAlpine,0.05426356589147286,"[0.0, 0.0, 6.0, 0.0, 1.0]",0.32860520094562645,0.04794520547945205,0.65,0.2608695652173913,0.0
G. BortoletoSauber,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.34515366430260047,0.0,0.9,0.2608695652173913,0.0
F. ColapintoAlpine,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.34515366430260047,0.0,0.95,0.2608695652173913,0.0
J. DoohanAlpine,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.34515366430260047,0.0,1.0,0.2608695652173913,0.0
L. NorrisMcLaren,0.689922480620155,"[18.0, 15.0, 12.0, 26.0, 18.0]",0.0070921985815602835,0.9813664596273292,0.05,0.30434782608695654,18.0
M. VerstappenRed Bull Racing,0.6821705426356589,"[25.0, 8.0, 18.0, 12.0, 25.0]",0.0591016548463357,0.84472049689441,0.1,0.30434782608695654,1.0
O. PiastriMcLaren,0.8682170542635658,"[15.0, 25.0, 25.0, 32.0, 15.0]",0.0,1.0,0.0,0.30434782608695654,25.0
G. RussellMercedes,0.49612403100775193,"[10.0, 18.0, 10.0, 20.0, 6.0]",0.14657210401891252,0.6149068322981367,0.15,0.30434782608695654,12.0
C. LeclercFerrari,0.4108527131782945,"[12.0, 12.0, 15.0, 6.0, 8.0]",0.1938534278959811,0.4906832298136646,0.2,0.30434782608695654,15.0
L. HamiltonFerrari,0.34108527131782945,"[6.0, 10.0, 6.0, 10.0, 12.0]",0.23167848699763594,0.391304347826087,0.25,0.30434782608695654,8.0
A. AntonelliMercedes,0.20155038759689922,"[8.0, 0.0, 8.0, 10.0, 0.0]",0.26713947990543735,0.2981366459627329,0.3,0.30434782608695654,0.0
A. AlbonWilliams,0.18604651162790697,"[2.0, 0.0, 2.0, 10.0, 10.0]",0.28132387706855794,0.2608695652173913,0.35,0.30434782608695654,0.0
C. SainzWilliams,0.07751937984496124,"[0.0, 0.0, 4.0, 2.0, 4.0]",0.35224586288416077,0.07453416149068323,0.55,0.30434782608695654,0.0
F. AlonsoAston Martin Racing,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.3806146572104019,0.0,0.85,0.30434782608695654,2.0
N. HulkenbergSauber,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.3664302600472813,0.037267080745341616,0.7,0.30434782608695654,10.0
I. HadjarRed Bull Racing,0.05426356589147286,"[4.0, 0.0, 1.0, 0.0, 2.0]",0.34515366430260047,0.09316770186335403,0.45,0.30434782608695654,6.0
O. BearmanHaas F1 Team,0.015503875968992248,"[1.0, 1.0, 0.0, 0.0, 0.0]",0.3664302600472813,0.037267080745341616,0.75,0.30434782608695654,0.0
L. LawsonRacing Bulls,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.37115839243498816,0.024844720496894408,0.8,0.30434782608695654,0.0
E. OconHaas F1 Team,0.031007751937984496,"[0.0, 4.0, 0.0, 0.0, 0.0]",0.3333333333333333,0.12422360248447205,0.4,0.30434782608695654,0.0
L. StrollAston Martin Racing,0.031007751937984496,"[0.0, 0.0, 0.0, 4.0, 0.0]",0.3475177304964539,0.08695652173913043,0.5,0.30434782608695654,0.0
Y. TsunodaRed Bull Racing,0.05426356589147286,"[0.0, 2.0, 0.0, 4.0, 1.0]",0.35697399527186763,0.062111801242236024,0.6,0.30434782608695654,0.0
P. GaslyAlpine,0.05426356589147286,"[0.0, 6.0, 0.0, 1.0, 0.0]",0.3640661938534279,0.043478260869565216,0.65,0.30434782608695654,4.0
G. BortoletoSauber,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.3806146572104019,0.0,0.9,0.30434782608695654,0.0
F. ColapintoAlpine,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.3806146572104019,0.0,0.95,0.30434782608695654,0.0
J. DoohanAlpine,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.3806146572104019,0.0,1.0,0.30434782608695654,0.0
L. NorrisMcLaren,0.7441860465116279,"[15.0, 12.0, 26.0, 18.0, 25.0]",0.02364066193853428,0.946236559139785,0.05,0.34782608695652173,0.0
M. VerstappenRed Bull Racing,0.5813953488372093,"[8.0, 18.0, 12.0, 25.0, 12.0]",0.11583924349881797,0.7365591397849462,0.1,0.34782608695652173,18.0
O. PiastriMcLaren,0.8682170542635658,"[25.0, 25.0, 32.0, 15.0, 15.0]",0.0,1.0,0.0,0.34782608695652173,12.0
G. RussellMercedes,0.4186046511627907,"[18.0, 10.0, 20.0, 6.0, 0.0]",0.1773049645390071,0.5967741935483871,0.15,0.34782608695652173,25.0
C. LeclercFerrari,0.45736434108527135,"[12.0, 15.0, 6.0, 8.0, 18.0]",0.21749408983451538,0.5053763440860215,0.2,0.34782608695652173,10.0
L. HamiltonFerrari,0.37209302325581395,"[10.0, 6.0, 10.0, 12.0, 10.0]",0.2718676122931442,0.3817204301075269,0.25,0.34782608695652173,8.0
A. AntonelliMercedes,0.13953488372093023,"[0.0, 8.0, 10.0, 0.0, 0.0]",0.3262411347517731,0.25806451612903225,0.3,0.34782608695652173,15.0
A. AlbonWilliams,0.18604651162790697,"[0.0, 2.0, 10.0, 10.0, 2.0]",0.3404255319148936,0.22580645161290322,0.35,0.34782608695652173,0.0
C. SainzWilliams,0.08527131782945736,"[0.0, 4.0, 2.0, 4.0, 1.0]",0.41134751773049644,0.06451612903225806,0.6,0.34782608695652173,1.0
F. AlonsoAston Martin Racing,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.43498817966903075,0.010752688172043012,0.85,0.34782608695652173,6.0
N. HulkenbergSauber,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.40189125295508277,0.08602150537634409,0.5,0.34782608695652173,4.0
I. HadjarRed Bull Racing,0.08527131782945736,"[0.0, 1.0, 0.0, 2.0, 8.0]",0.3900709219858156,0.11290322580645161,0.4,0.34782608695652173,0.0
O. BearmanHaas F1 Team,0.007751937984496124,"[1.0, 0.0, 0.0, 0.0, 0.0]",0.425531914893617,0.03225806451612903,0.75,0.34782608695652173,0.0
L. LawsonRacing Bulls,0.031007751937984496,"[0.0, 0.0, 0.0, 0.0, 4.0]",0.4302600472813239,0.021505376344086023,0.8,0.34782608695652173,0.0
E. OconHaas F1 Team,0.07751937984496124,"[4.0, 0.0, 0.0, 0.0, 6.0]",0.39243498817966904,0.10752688172043011,0.45,0.34782608695652173,2.0
L. StrollAston Martin Racing,0.031007751937984496,"[0.0, 0.0, 4.0, 0.0, 0.0]",0.4066193853427896,0.07526881720430108,0.55,0.34782608695652173,0.0
Y. TsunodaRed Bull Racing,0.05426356589147286,"[2.0, 0.0, 4.0, 1.0, 0.0]",0.4160756501182033,0.053763440860215055,0.7,0.34782608695652173,0.0
P. GaslyAlpine,0.05426356589147286,"[6.0, 0.0, 1.0, 0.0, 0.0]",0.41371158392434987,0.05913978494623656,0.65,0.34782608695652173,0.0
G. BortoletoSauber,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.4397163120567376,0.0,0.9,0.34782608695652173,0.0
F. ColapintoAlpine,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.4397163120567376,0.0,0.95,0.34782608695652173,0.0
J. DoohanAlpine,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.4397163120567376,0.0,1.0,0.34782608695652173,0.0
L. NorrisMcLaren,0.7674418604651163,"[12.0, 26.0, 18.0, 25.0, 18.0]",0.05200945626477541,0.8888888888888888,0.05,0.391304347826087,25.0
M. VerstappenRed Bull Racing,0.5271317829457364,"[18.0, 12.0, 25.0, 12.0, 1.0]",0.1016548463356974,0.7828282828282829,0.1,0.391304347826087,0.0
O. PiastriMcLaren,0.8682170542635658,"[25.0, 32.0, 15.0, 15.0, 25.0]",0.0,1.0,0.0,0.391304347826087,18.0
G. RussellMercedes,0.37209302325581395,"[10.0, 20.0, 6.0, 0.0, 12.0]",0.14657210401891252,0.6868686868686869,0.15,0.391304347826087,10.0
C. LeclercFerrari,0.4806201550387597,"[15.0, 6.0, 8.0, 18.0, 15.0]",0.2222222222222222,0.5252525252525253,0.2,0.391304347826087,15.0
